Name,Organisation_context,Geography,Languages_used,Safeguarding_focus,Protected_characteristics,Message,Result_with_context,Result_no_context,Result_no_context_no_examples
RnDAO 2,"RnDAO is a majority male web 3 community working on developing CollabTech across US, Europe. There are also a number of high profile female members of the team.","US, UK, Europe, East Asia, Latin America.","English, Spanish",Racism,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",hahahahaha))) not give a shit man))) this is show only that she not use any brain,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
RnDAO 2,"RnDAO is a majority male web 3 community working on developing CollabTech across US, Europe. There are also a number of high profile female members of the team.","US, UK, Europe, East Asia, Latin America.","English, Spanish",Racism,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",if i call you a faggot and say it is a joke...will yo ubelieve me,"['hate speech', ['sexual orientation'], [1]]","['hate speech', ['sexual orientation'], [0.99]]","['hate speech', ['sexual orientation'], [0.98]]"
RnDAO 2,"RnDAO is a majority male web 3 community working on developing CollabTech across US, Europe. There are also a number of high profile female members of the team.","US, UK, Europe, East Asia, Latin America.","English, Spanish",Racism,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",I think this gayboy can't read,"['hate speech', ['sexual orientation'], [1]]","['hate speech', ['sexual orientation'], [0.98]]","['hate speech', ['sexual orientation'], [0.98]]"
RnDAO 2,"RnDAO is a majority male web 3 community working on developing CollabTech across US, Europe. There are also a number of high profile female members of the team.","US, UK, Europe, East Asia, Latin America.","English, Spanish",Racism,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",Ur mother suck 50dk perday just to raise u be grateful,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
RnDAO 2,"RnDAO is a majority male web 3 community working on developing CollabTech across US, Europe. There are also a number of high profile female members of the team.","US, UK, Europe, East Asia, Latin America.","English, Spanish",Racism,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",be grateful gayboy,"['hate speech', ['sexual orientation'], [1]]","['hate speech', ['sexual orientation'], [0.99]]","['hate speech', ['sexual orientation'], [0.98]]"
RnDAO 2,"RnDAO is a majority male web 3 community working on developing CollabTech across US, Europe. There are also a number of high profile female members of the team.","US, UK, Europe, East Asia, Latin America.","English, Spanish",Racism,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",why are you people so fkn gay,"['hate speech', ['sexual orientation'], [1]]","['hate speech', ['sexual orientation'], [1]]","['hate speech', ['sexual orientation'], [0.98]]"
RnDAO 2,"RnDAO is a majority male web 3 community working on developing CollabTech across US, Europe. There are also a number of high profile female members of the team.","US, UK, Europe, East Asia, Latin America.","English, Spanish",Racism,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",Make me a sandwitch,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
RnDAO 2,"RnDAO is a majority male web 3 community working on developing CollabTech across US, Europe. There are also a number of high profile female members of the team.","US, UK, Europe, East Asia, Latin America.","English, Spanish",Racism,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",went to talk to the devs but found just a few girls,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
RnDAO 2,"RnDAO is a majority male web 3 community working on developing CollabTech across US, Europe. There are also a number of high profile female members of the team.","US, UK, Europe, East Asia, Latin America.","English, Spanish",Racism,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",Can you imagine that two of their devs are females? What did they do to get the gigs?,"['hate speech', ['gender'], [1]]","['hate speech', ['gender'], [1]]","['hate speech', ['gender'], [0.98]]"
RnDAO 2,"RnDAO is a majority male web 3 community working on developing CollabTech across US, Europe. There are also a number of high profile female members of the team.","US, UK, Europe, East Asia, Latin America.","English, Spanish",Racism,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief","She was unprofessional, hysterical then aggressive","['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
RnDAO 2,"RnDAO is a majority male web 3 community working on developing CollabTech across US, Europe. There are also a number of high profile female members of the team.","US, UK, Europe, East Asia, Latin America.","English, Spanish",Racism,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief","She was unprofessional, hysterical then aggressive I stayed quiet but wanted to ask if it was that time of the month?","['hate speech', ['gender'], [1]]","['hate speech', ['gender'], [0.99]]","['hate speech', ['gender'], [0.95]]"
RnDAO 2,"RnDAO is a majority male web 3 community working on developing CollabTech across US, Europe. There are also a number of high profile female members of the team.","US, UK, Europe, East Asia, Latin America.","English, Spanish",Racism,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief","massive afro or cornrows, what's this? supposed to be web3 networking not catwalk","['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
RnDAO 2,"RnDAO is a majority male web 3 community working on developing CollabTech across US, Europe. There are also a number of high profile female members of the team.","US, UK, Europe, East Asia, Latin America.","English, Spanish",Racism,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief","There's too many people on this planet. Kill nazis, save the earth.","['hate speech', ['race'], [1]]","['hate speech', ['race'], [1]]","['hate speech', ['race'], [0.85]]"
RnDAO 2,"RnDAO is a majority male web 3 community working on developing CollabTech across US, Europe. There are also a number of high profile female members of the team.","US, UK, Europe, East Asia, Latin America.","English, Spanish",Racism,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",There's too many people on this planet.,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
RnDAO 2,"RnDAO is a majority male web 3 community working on developing CollabTech across US, Europe. There are also a number of high profile female members of the team.","US, UK, Europe, East Asia, Latin America.","English, Spanish",Racism,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief","There's too many people on this planet. Kill Jews, Kill Palestinians - save the earth. Simple!","['hate speech', ['race', 'religion'], [1, 1]]","['hate speech', ['race', 'religion'], [1, 1]]","['hate speech', ['race', 'religion'], [0.95, 0.97]]"
RnDAO 2,"RnDAO is a majority male web 3 community working on developing CollabTech across US, Europe. There are also a number of high profile female members of the team.","US, UK, Europe, East Asia, Latin America.","English, Spanish",Racism,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",Some people are more giften and should be allowed to have resources,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
RnDAO 2,"RnDAO is a majority male web 3 community working on developing CollabTech across US, Europe. There are also a number of high profile female members of the team.","US, UK, Europe, East Asia, Latin America.","English, Spanish",Racism,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",Are you fking kidding me?? You want to play with ponies? What's with this bronie bshit? You're a grown ass man! ,"['hate speech', ['gender identity'], [1]]","['hate speech', ['gender'], [1]]","['hate speech', ['sexual orientation'], [0.98]]"
RnDAO 2,"RnDAO is a majority male web 3 community working on developing CollabTech across US, Europe. There are also a number of high profile female members of the team.","US, UK, Europe, East Asia, Latin America.","English, Spanish",Racism,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief",I don't want to be explaining things again to this slow noobs.,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
RnDAO 2,"RnDAO is a majority male web 3 community working on developing CollabTech across US, Europe. There are also a number of high profile female members of the team.","US, UK, Europe, East Asia, Latin America.","English, Spanish",Racism,"Age, Disability, Marriage and civil partnership, Pregnancy and maternity, Race, Religion or belief","He says he's tired of bending over backwards, but I'm sure he's actually enjoying all of that bending over.","['hate speech', ['sexual orientation'], [0.99]]","['hate speech', ['sexual orientation'], [0.99]]","['hate speech', ['sexual orientation'], [0.98]]"
Discussion DAO,Discussion DAO is a community of people for whom the opportunity to talk to others and to discuss different view points is of the higest value. Members might practice their skills by arguing for viewpoints or opinions different than their own.,"UK, Europe, Asia","English, French","Being able to discuss any opinions and viewpoints, even controversial ones.","Age, Disability",You seem to have sand in your vagina.,"['hate speech', ['gender'], [1]]","['hate speech', ['gender'], [1]]","['hate speech', ['gender'], [0.95]]"
Discussion DAO,Discussion DAO is a community of people for whom the opportunity to talk to others and to discuss different view points is of the higest value. Members might practice their skills by arguing for viewpoints or opinions different than their own.,"UK, Europe, Asia","English, French","Being able to discuss any opinions and viewpoints, even controversial ones.","Age, Disability",Hey everyone! Excited for the hackathon this weekend. What's everyone building?,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Discussion DAO,Discussion DAO is a community of people for whom the opportunity to talk to others and to discuss different view points is of the higest value. Members might practice their skills by arguing for viewpoints or opinions different than their own.,"UK, Europe, Asia","English, French","Being able to discuss any opinions and viewpoints, even controversial ones.","Age, Disability","Sure, share your repo. But maybe ask your boyfriend to help first? ;)","['hate speech', ['gender'], [1]]","['not hate speech', [], [1]]","['hate speech', ['sexual orientation', 'gender'], [0.80, 0.95]]"
Discussion DAO,Discussion DAO is a community of people for whom the opportunity to talk to others and to discuss different view points is of the higest value. Members might practice their skills by arguing for viewpoints or opinions different than their own.,"UK, Europe, Asia","English, French","Being able to discuss any opinions and viewpoints, even controversial ones.","Age, Disability",She's from Florida so you've got to do the sniff test in those swamp pussies,"['hate speech', ['gender'], [1]]","['not hate speech', [], [1]]","['hate speech', ['sexual orientation'], [0.98]]"
Discussion DAO,Discussion DAO is a community of people for whom the opportunity to talk to others and to discuss different view points is of the higest value. Members might practice their skills by arguing for viewpoints or opinions different than their own.,"UK, Europe, Asia","English, French","Being able to discuss any opinions and viewpoints, even controversial ones.","Age, Disability",Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing 2 fags walking down the street holding hands an,"['hate speech', ['sexual orientation'], [0.98]]","['hate speech', ['sexual orientation'], [0.99]]","['hate speech', ['sexual orientation'], [0.98]]"
Discussion DAO,Discussion DAO is a community of people for whom the opportunity to talk to others and to discuss different view points is of the higest value. Members might practice their skills by arguing for viewpoints or opinions different than their own.,"UK, Europe, Asia","English, French","Being able to discuss any opinions and viewpoints, even controversial ones.","Age, Disability",Why people think gay marriage is okay is beyond me.,"['hate speech', ['sexual orientation'], [1]]","['hate speech', ['sexual orientation'], [0.98]]","['hate speech', ['sexual orientation'], [0.98]]"
Discussion DAO,Discussion DAO is a community of people for whom the opportunity to talk to others and to discuss different view points is of the higest value. Members might practice their skills by arguing for viewpoints or opinions different than their own.,"UK, Europe, Asia","English, French","Being able to discuss any opinions and viewpoints, even controversial ones.","Age, Disability",gay marriage is okay,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['hate speech', ['sexual orientation'], [0.98]]"
Discussion DAO,Discussion DAO is a community of people for whom the opportunity to talk to others and to discuss different view points is of the higest value. Members might practice their skills by arguing for viewpoints or opinions different than their own.,"UK, Europe, Asia","English, French","Being able to discuss any opinions and viewpoints, even controversial ones.","Age, Disability",#HonestyHour in middle school hoes used to call me a Mandingo warrior,"['hate speech', ['race'], [1]]","['hate speech', ['race'], [1]]","['hate speech', ['race'], [0.98]]"
Discussion DAO,Discussion DAO is a community of people for whom the opportunity to talk to others and to discuss different view points is of the higest value. Members might practice their skills by arguing for viewpoints or opinions different than their own.,"UK, Europe, Asia","English, French","Being able to discuss any opinions and viewpoints, even controversial ones.","Age, Disability",Only Americans would hire white trash with ties to international terrorism as police officers.,"['hate speech', ['race'], [1]]","['hate speech', ['race'], [0.99]]","['hate speech', ['race'], [0.95]]"
Discussion DAO,Discussion DAO is a community of people for whom the opportunity to talk to others and to discuss different view points is of the higest value. Members might practice their skills by arguing for viewpoints or opinions different than their own.,"UK, Europe, Asia","English, French","Being able to discuss any opinions and viewpoints, even controversial ones.","Age, Disability",completely right da suchka ebanaya,"['hate speech', [], [1]]","['hate speech', ['gender'], [1]]","['hate speech', ['sexual orientation'], [0.98]]"
Discussion DAO,Discussion DAO is a community of people for whom the opportunity to talk to others and to discuss different view points is of the higest value. Members might practice their skills by arguing for viewpoints or opinions different than their own.,"UK, Europe, Asia","English, French","Being able to discuss any opinions and viewpoints, even controversial ones.","Age, Disability",hahahahaha))) not give a shit man))) this is show only that she not use any brain,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Discussion DAO,Discussion DAO is a community of people for whom the opportunity to talk to others and to discuss different view points is of the higest value. Members might practice their skills by arguing for viewpoints or opinions different than their own.,"UK, Europe, Asia","English, French","Being able to discuss any opinions and viewpoints, even controversial ones.","Age, Disability",if i call you a faggot and say it is a joke...will yo ubelieve me,"['hate speech', ['sexual orientation'], [1]]","['hate speech', ['sexual orientation'], [0.99]]","['hate speech', ['sexual orientation'], [0.98]]"
Discussion DAO,Discussion DAO is a community of people for whom the opportunity to talk to others and to discuss different view points is of the higest value. Members might practice their skills by arguing for viewpoints or opinions different than their own.,"UK, Europe, Asia","English, French","Being able to discuss any opinions and viewpoints, even controversial ones.","Age, Disability",I think this gayboy can't read,"['hate speech', ['sexual orientation'], [1]]","['hate speech', ['sexual orientation'], [0.99]]","['hate speech', ['sexual orientation'], [0.98]]"
Discussion DAO,Discussion DAO is a community of people for whom the opportunity to talk to others and to discuss different view points is of the higest value. Members might practice their skills by arguing for viewpoints or opinions different than their own.,"UK, Europe, Asia","English, French","Being able to discuss any opinions and viewpoints, even controversial ones.","Age, Disability",Ur mother suck 50dk perday just to raise u be grateful,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Discussion DAO,Discussion DAO is a community of people for whom the opportunity to talk to others and to discuss different view points is of the higest value. Members might practice their skills by arguing for viewpoints or opinions different than their own.,"UK, Europe, Asia","English, French","Being able to discuss any opinions and viewpoints, even controversial ones.","Age, Disability",be grateful gayboy,"['hate speech', ['sexual orientation'], [1]]","['hate speech', ['sexual orientation'], [0.99]]","['hate speech', ['sexual orientation'], [0.98]]"
Discussion DAO,Discussion DAO is a community of people for whom the opportunity to talk to others and to discuss different view points is of the higest value. Members might practice their skills by arguing for viewpoints or opinions different than their own.,"UK, Europe, Asia","English, French","Being able to discuss any opinions and viewpoints, even controversial ones.","Age, Disability",why are you people so fkn gay,"['hate speech', ['sexual orientation'], [1]]","['hate speech', ['sexual orientation'], [1]]","['hate speech', ['sexual orientation'], [0.98]]"
Discussion DAO,Discussion DAO is a community of people for whom the opportunity to talk to others and to discuss different view points is of the higest value. Members might practice their skills by arguing for viewpoints or opinions different than their own.,"UK, Europe, Asia","English, French","Being able to discuss any opinions and viewpoints, even controversial ones.","Age, Disability",Make me a sandwitch,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Discussion DAO,Discussion DAO is a community of people for whom the opportunity to talk to others and to discuss different view points is of the higest value. Members might practice their skills by arguing for viewpoints or opinions different than their own.,"UK, Europe, Asia","English, French","Being able to discuss any opinions and viewpoints, even controversial ones.","Age, Disability",went to talk to the devs but found just a few girls,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Discussion DAO,Discussion DAO is a community of people for whom the opportunity to talk to others and to discuss different view points is of the higest value. Members might practice their skills by arguing for viewpoints or opinions different than their own.,"UK, Europe, Asia","English, French","Being able to discuss any opinions and viewpoints, even controversial ones.","Age, Disability",Can you imagine that two of their devs are females? What did they do to get the gigs?,"['hate speech', ['sex'], [1]]","['hate speech', ['gender'], [1]]","['hate speech', ['gender'], [0.98]]"
Discussion DAO,Discussion DAO is a community of people for whom the opportunity to talk to others and to discuss different view points is of the higest value. Members might practice their skills by arguing for viewpoints or opinions different than their own.,"UK, Europe, Asia","English, French","Being able to discuss any opinions and viewpoints, even controversial ones.","Age, Disability","She was unprofessional, hysterical then aggressive","['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Discussion DAO,Discussion DAO is a community of people for whom the opportunity to talk to others and to discuss different view points is of the higest value. Members might practice their skills by arguing for viewpoints or opinions different than their own.,"UK, Europe, Asia","English, French","Being able to discuss any opinions and viewpoints, even controversial ones.","Age, Disability","She was unprofessional, hysterical then aggressive I stayed quiet but wanted to ask if it was that time of the month?","['hate speech', ['gender'], [1]]","['hate speech', ['gender'], [0.99]]","['hate speech', ['gender'], [0.95]]"
Discussion DAO,Discussion DAO is a community of people for whom the opportunity to talk to others and to discuss different view points is of the higest value. Members might practice their skills by arguing for viewpoints or opinions different than their own.,"UK, Europe, Asia","English, French","Being able to discuss any opinions and viewpoints, even controversial ones.","Age, Disability","massive afro or cornrows, what's this? supposed to be web3 networking not catwalk","['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Discussion DAO,Discussion DAO is a community of people for whom the opportunity to talk to others and to discuss different view points is of the higest value. Members might practice their skills by arguing for viewpoints or opinions different than their own.,"UK, Europe, Asia","English, French","Being able to discuss any opinions and viewpoints, even controversial ones.","Age, Disability","There's too many people on this planet. Kill nazis, save the earth.","['hate speech', ['race'], [1]]","['hate speech', ['race'], [1]]","['hate speech', ['race'], [0.95]]"
Discussion DAO,Discussion DAO is a community of people for whom the opportunity to talk to others and to discuss different view points is of the higest value. Members might practice their skills by arguing for viewpoints or opinions different than their own.,"UK, Europe, Asia","English, French","Being able to discuss any opinions and viewpoints, even controversial ones.","Age, Disability",There's too many people on this planet.,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Discussion DAO,Discussion DAO is a community of people for whom the opportunity to talk to others and to discuss different view points is of the higest value. Members might practice their skills by arguing for viewpoints or opinions different than their own.,"UK, Europe, Asia","English, French","Being able to discuss any opinions and viewpoints, even controversial ones.","Age, Disability","There's too many people on this planet. Kill Jews, Kill Palestinians - save the earth. Simple!","['hate speech', ['race', 'religion'], [1, 1]]","['hate speech', ['race', 'religion'], [1, 1]]","['hate speech', ['race', 'religion'], [0.95, 0.97]]"
Discussion DAO,Discussion DAO is a community of people for whom the opportunity to talk to others and to discuss different view points is of the higest value. Members might practice their skills by arguing for viewpoints or opinions different than their own.,"UK, Europe, Asia","English, French","Being able to discuss any opinions and viewpoints, even controversial ones.","Age, Disability",Some people are more giften and should be allowed to have resources,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Discussion DAO,Discussion DAO is a community of people for whom the opportunity to talk to others and to discuss different view points is of the higest value. Members might practice their skills by arguing for viewpoints or opinions different than their own.,"UK, Europe, Asia","English, French","Being able to discuss any opinions and viewpoints, even controversial ones.","Age, Disability",Are you fking kidding me?? You want to play with ponies? What's with this bronie bshit? You're a grown ass man! ,"['hate speech', ['age'], [1]]","['hate speech', ['gender'], [1]]","['hate speech', ['sexual orientation'], [0.98]]"
Discussion DAO,Discussion DAO is a community of people for whom the opportunity to talk to others and to discuss different view points is of the higest value. Members might practice their skills by arguing for viewpoints or opinions different than their own.,"UK, Europe, Asia","English, French","Being able to discuss any opinions and viewpoints, even controversial ones.","Age, Disability",I don't want to be explaining things again to this slow noobs.,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Discussion DAO,Discussion DAO is a community of people for whom the opportunity to talk to others and to discuss different view points is of the higest value. Members might practice their skills by arguing for viewpoints or opinions different than their own.,"UK, Europe, Asia","English, French","Being able to discuss any opinions and viewpoints, even controversial ones.","Age, Disability","He says he's tired of bending over backwards, but I'm sure he's actually enjoying all of that bending over.","['hate speech', ['sexual orientation'], [1]]","['hate speech', ['sexual orientation'], [0.99]]","['hate speech', ['sexual orientation'], [0.98]]"
Kittens DAO,"Kittens DAO is a community for all those who want a safe space for all, were we spread positivity and happiness, and everybody is wellcome.  ","US, Japan","English, Japaneese","No toxicity of any kind, please avoid swear words.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",You seem to have sand in your vagina.,"['hate speech', ['gender identity'], [1]]","['hate speech', ['gender'], [1]]","['hate speech', ['gender'], [0.95]]"
Kittens DAO,"Kittens DAO is a community for all those who want a safe space for all, were we spread positivity and happiness, and everybody is wellcome.  ","US, Japan","English, Japaneese","No toxicity of any kind, please avoid swear words.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",Hey everyone! Excited for the hackathon this weekend. What's everyone building?,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['not hate speech', [], []]"
Kittens DAO,"Kittens DAO is a community for all those who want a safe space for all, were we spread positivity and happiness, and everybody is wellcome.  ","US, Japan","English, Japaneese","No toxicity of any kind, please avoid swear words.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste","Sure, share your repo. But maybe ask your boyfriend to help first? ;)","['hate speech', ['gender identity', 'sexual orientation'], [1, 0.98]]","['hate speech', ['gender'], [1]]","['hate speech', ['sexual orientation', 'gender'], [0.98, 0.85]]"
Kittens DAO,"Kittens DAO is a community for all those who want a safe space for all, were we spread positivity and happiness, and everybody is wellcome.  ","US, Japan","English, Japaneese","No toxicity of any kind, please avoid swear words.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",She's from Florida so you've got to do the sniff test in those swamp pussies,"['hate speech', ['gender identity', 'sexual orientation'], [1, 1]]","['not hate speech', [], [1]]","['hate speech', ['sexual orientation'], [0.98]]"
Kittens DAO,"Kittens DAO is a community for all those who want a safe space for all, were we spread positivity and happiness, and everybody is wellcome.  ","US, Japan","English, Japaneese","No toxicity of any kind, please avoid swear words.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",Why people think gay marriage is okay is beyond me. Sorry I don't want my future son seeing 2 fags walking down the street holding hands an,"['hate speech', ['sexual orientation'], [1]]","['hate speech', ['sexual orientation'], [0.99]]","['hate speech', ['sexual orientation'], [0.98]]"
Kittens DAO,"Kittens DAO is a community for all those who want a safe space for all, were we spread positivity and happiness, and everybody is wellcome.  ","US, Japan","English, Japaneese","No toxicity of any kind, please avoid swear words.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",Why people think gay marriage is okay is beyond me.,"['hate speech', ['sexual orientation', 'marriage and civil partnership status'], [1, 1]]","['hate speech', ['sexual orientation'], [0.99]]","['hate speech', ['sexual orientation'], [0.98]]"
Kittens DAO,"Kittens DAO is a community for all those who want a safe space for all, were we spread positivity and happiness, and everybody is wellcome.  ","US, Japan","English, Japaneese","No toxicity of any kind, please avoid swear words.","Age, Disability, Gender identity and expression, Marriage and civil partnership status, Pregnancy and maternity, Race and ethnicity, Religion and belief systems, Sexual orientation, Misogynoir, Caste",gay marriage is okay,"['not hate speech', [], [1]]","['not hate speech', [], [1]]","['hate speech', ['sexual orientation'], [0.98]]"
